Days,Relation
1393,9.6544
1394,9.6166
1395,9.6533
1396,9.6008
1397,9.558
1398,9.4963
1399,9.4625
1400,9.4828
1401,9.4828
1402,9.4098
1403,9.379
1404,9.4057
1405,9.393
1406,9.3692
1407,9.4058
1408,9.3973
1409,9.4155
1410,9.4132
1411,9.3737
1412,9.402
1413,9.4263
1414,9.3984
1415,9.4418
1416,9.4497
1417,9.4127
1418,9.4079
1419,9.3788
1420,9.379
1421,9.4348
1422,9.5727
1423,9.598
1424,9.5201
1425,9.5722
1426,9.5997
1427,9.6098
1428,9.714
1429,9.834
1430,9.708
1431,9.7546
1432,9.69
1433,9.7417
1434,9.8167
1435,9.8548
1436,9.8798
1437,9.9018
1438,9.9778
1439,9.8878
1440,9.887
1441,9.7953
1442,9.7863
1443,9.7683
1444,9.6923
1445,9.683
1446,9.6909
1447,9.6687
1448,9.6692
1449,9.6828
1450,9.7328
1451,9.756
1452,9.6998
1453,9.6945
1454,9.6464
1455,9.7238
1456,9.7389
1457,9.7065
1458,9.7219
1459,9.6763
1460,9.7022
1461,9.7044
1462,9.6797
1463,9.709
1464,9.7278
1465,9.7183
1466,9.6618
1467,9.6827
1468,9.7025
1469,9.7052
1470,9.6688
1471,9.637
1472,9.6409
1473,9.6542
1474,9.6468
1475,9.6703
1476,9.6625
1477,9.632
1478,9.576
1479,9.5843
1480,9.6233
1481,9.5683
1482,9.5188
1483,9.5722
1484,9.654
1485,9.5315
1486,9.5139
1487,9.538
1488,9.5203
1489,9.4933
1490,9.4152
1491,9.3914
1492,9.4201
1493,9.414
1494,9.4059
1495,9.3587
1496,9.3093
1497,9.2908
1498,9.323
1499,9.2723
1500,9.1966
1501,9.2748
1502,9.3525
1503,9.37
1504,9.2768
1505,9.3123
1506,9.2671
1507,9.3049
1508,9.2537
1509,9.283
1510,9.2873
1511,9.2579
1512,9.2212
1513,9.2048
1514,9.216
1515,9.1967
1516,9.225
1517,9.1922
1518,9.161
1519,9.1645
1520,8.9952
1521,8.9774
1522,8.9428
1523,8.966
1524,9.0398
1525,9.0805
1526,9.0945
1527,9.0781
1528,9.0851
1529,9.1653
1530,9.1835
1531,9.1735
1532,9.1369
1533,9.1722
1534,9.1208
1535,9.1235
1536,9.068
1537,9.029
1538,9.094
1539,9.118
1540,9.0523
1541,9.0522
1542,9.0502
1543,9.0792
1544,9.0798
1545,9.057
1546,9.073
1547,9.0595
1548,9.0606
1549,9.0608
1550,9.09
1551,9.0708
1552,9.0221
1553,9.0258
1554,9.0707
1555,9.0312
1556,9.1503
1557,9.1193
1558,9.1476
1559,9.2953
1560,9.342
1561,9.3542
1562,9.2918
1563,9.1855
1564,9.1283
1565,9.2
1566,9.1796
1567,9.1107
1568,9.1087
1569,9.1599
1570,9.157
1571,9.192
1572,9.1472
1573,9.1408
1574,9.2111
1575,9.1698
1576,9.1638
1577,9.1292
1578,9.12
1579,9.0958
1580,9.0897
1581,9.1247
1582,9.0863
1583,9.1206
1584,9.094
1585,9.0833
1586,9.1155
1587,9.1383
1588,9.1227
1589,9.1158
1590,9.1205
1591,9.1444
1592,9.1123
1593,9.1365
1594,9.1438
1595,9.1692
1596,9.2
1597,9.1936
1598,9.1957
1599,9.2587
1600,9.2898
1601,9.3242
1602,9.3716
1603,9.5475
1604,9.4447
1605,9.4748
1606,9.4942
1607,9.4478
1608,9.4455
1609,9.4185
1610,9.4802
1611,9.4848
1612,9.4315
1613,9.4842
1614,9.5258
1615,9.5542
1616,9.5098
1617,9.5037
1618,9.5217
1619,9.5273
1620,9.5243
1621,9.5808
1622,9.5666
1623,9.5163
1624,9.4053
1625,9.3397
1626,9.3538
1627,9.2753
1628,9.235
1629,9.234
1630,9.231
1631,9.1971
1632,9.1977
1633,9.2243
1634,9.2173
1635,9.2469
1636,9.2722
1637,9.2421
1638,9.2682
1639,9.2542
1640,9.2892
1641,9.2783
1642,9.2221
1643,9.2132
1644,9.2088
1645,9.2115
1646,9.2318
1647,9.2708
1648,9.2519
1649,9.2362
1650,9.2028
1651,9.2121
1652,9.1968
1653,9.1409
1654,9.1547
1655,9.1476
1656,9.1647
1657,9.2372
1658,9.2762
1659,9.2815
1660,9.2681
1661,9.205
1662,9.2197
1663,9.2165
1664,9.2401
1665,9.2124
1666,9.1865
1667,9.1819
1668,9.1204
1669,9.0798
1670,9.1198
1671,9.1052
1672,9.1175
1673,9.1682
1674,9.1235
1675,9.0923
1676,9.0957
1677,9.1423
1678,9.1692
1679,9.1695
1680,9.1037
1681,9.1142
1682,9.1368
1683,9.1554
1684,9.1678
1685,9.2044
1686,9.2444
1687,9.2734
1688,9.1923
1689,9.1711
1690,9.1993
1691,9.1255
1692,9.119
1693,9.1219
1694,9.1521
1695,9.148
1696,9.1227
1697,9.1295
1698,9.1585
1699,9.1714
1700,9.1974
1701,9.1463
1702,9.1544
1703,9.1627
1704,9.1294
1705,9.1381
1706,9.1465
1707,9.0787
1708,9.0896
1709,9.0607
1710,9.0838
1711,9.0652
1712,9.0638
1713,9.069
1714,9.0858
1715,9.0757
1716,9.1061
1717,9.0831
1718,9.0815
1719,9.0919
1720,9.1303
1721,9.0957
1722,9.0723
1723,9.077
1724,9.0797
1725,9.0753
1726,9.0728
1727,9.0703
1728,9.0753
1729,9.1153
1730,9.1182
1731,9.0929
1732,9.0733
1733,9.0742
1734,9.0707
1735,9.0403
1736,9.0298
1737,9.0243
1738,9.016
1739,9.0049
1740,8.998
1741,9.0398
1742,9.0468
1743,9.0266
1744,9.0217
1745,9.0422
1746,9.0446
1747,9.0771
1748,9.0749
1749,9.1714
1750,9.1597
1751,9.1904
1752,9.2345
1753,9.2247
1754,9.2663
1755,9.2698
1756,9.2908
1757,9.3528
1758,9.3196
1759,9.3542
1760,9.372
1761,9.417
1762,9.4978
1763,9.4913
1764,9.4828
1765,9.417
1766,9.4463
1767,9.5102
1768,9.4933
1769,9.5204
1770,9.4717
1771,9.4863
1772,9.471
1773,9.491
1774,9.5133
1775,9.5245
1776,9.5165
1777,9.5585
1778,9.57
1779,9.5586
1780,9.6134
1781,9.7148
1782,9.6562
1783,9.6398
1784,9.706
1785,9.7345
1786,9.776
1787,9.7412
1788,9.6993
1789,9.6607
1790,9.7035
1791,9.6532
1792,9.6684
1793,9.6078
1794,9.6258
1795,9.6983
1796,9.7676
1797,9.9473
1798,9.936
1799,9.8203
1800,9.9998
1801,9.9615
1802,9.9568
1803,9.9283
1804,9.9612
1805,9.967
1806,9.9502
1807,9.9034
1808,9.9223
1809,9.8552
1810,9.8338
1811,9.7979
1812,9.7072
1813,9.7522
1814,9.7345
